S-10B
S-12D
S-12D Google 0 54.09836065573771 S:28, I:0, D:38
S-12D Kaldi 0 31.147540983606557 S:23, I:1, D:14
S-12D Google 1 55.34591194968554 S:33, I:1, D:54
S-12D Kaldi 1 35.84905660377358 S:38, I:2, D:17
S-12D Google 2 44.31818181818182 S:18, I:0, D:21
S-12D Kaldi 2 28.40909090909091 S:10, I:3, D:12
S-12D Google 3 58.24175824175824 S:28, I:0, D:25
S-12D Kaldi 3 31.86813186813187 S:15, I:1, D:13
S-12D Google 4 44.02173913043478 S:40, I:0, D:41
S-12D Kaldi 4 23.91304347826087 S:27, I:1, D:16
S-12D Google 5 56.32911392405063 S:38, I:0, D:51
S-12D Kaldi 5 34.81012658227848 S:33, I:0, D:22
S-18B
S-18B Google 0 40.604026845637584 S:45, I:0, D:76
S-18B Kaldi 0 27.181208053691275 S:57, I:6, D:18
S-18B Google 1 33.61702127659574 S:27, I:1, D:51
S-18B Kaldi 1 19.574468085106382 S:26, I:7, D:13
S-18B Google 2 40.0 S:33, I:1, D:38
S-18B Kaldi 2 24.444444444444443 S:32, I:6, D:6
S-18B Google 3 40.476190476190474 S:44, I:3, D:55
S-18B Kaldi 3 21.428571428571427 S:36, I:6, D:12
S-18B Google 4 31.914893617021278 S:33, I:3, D:54
S-18B Kaldi 4 25.177304964539008 S:35, I:10, D:26
S-18B Google 5 30.208333333333332 S:37, I:1, D:49
S-18B Kaldi 5 14.583333333333334 S:24, I:6, D:12
S-18B Google 6 29.41176470588235 S:17, I:1, D:17
S-18B Kaldi 6 17.647058823529413 S:10, I:3, D:8
S-18B Google 7 31.34328358208955 S:36, I:5, D:22
S-18B Kaldi 7 18.407960199004975 S:24, I:4, D:9
S-18B Google 8 45.23809523809524 S:9, I:0, D:10
S-18B Kaldi 8 33.333333333333336 S:9, I:0, D:5
S-18B Google 9 75.0 S:9, I:0, D:0
S-18B Kaldi 9 58.333333333333336 S:5, I:2, D:0
S-18B Google 10 31.57894736842105 S:8, I:0, D:16
S-18B Kaldi 10 32.89473684210526 S:18, I:5, D:2
S-18B Google 11 36.809815950920246 S:36, I:0, D:24
S-18B Kaldi 11 25.766871165644172 S:26, I:7, D:9
S-26B
S-26B Google 0 39.325842696629216 S:13, I:0, D:22
S-26B Kaldi 0 26.96629213483146 S:17, I:2, D:5
S-26B Google 1 37.84860557768924 S:38, I:0, D:57
S-26B Kaldi 1 28.286852589641434 S:49, I:8, D:14
S-26B Google 2 40.569395017793596 S:65, I:3, D:46
S-26B Kaldi 2 25.26690391459075 S:47, I:10, D:14
S-26B Google 3 49.6551724137931 S:34, I:1, D:37
S-26B Kaldi 3 36.55172413793103 S:38, I:3, D:12
S-26B Google 4 39.59044368600683 S:60, I:3, D:53
S-26B Kaldi 4 22.18430034129693 S:39, I:3, D:23
S-26B Google 5 51.87032418952619 S:116, I:2, D:90
S-26B Kaldi 5 40.64837905236908 S:101, I:5, D:57
S-26B Google 6 33.51648351648352 S:20, I:0, D:41
S-26B Kaldi 6 26.373626373626372 S:35, I:1, D:12
S-26B Google 7 30.693069306930692 S:16, I:0, D:15
S-26B Kaldi 7 29.702970297029704 S:25, I:3, D:2
S-26B Google 8 32.758620689655174 S:19, I:3, D:16
S-26B Kaldi 8 24.137931034482758 S:15, I:4, D:9
S-26B Google 9 36.666666666666664 S:8, I:0, D:3
S-26B Kaldi 9 36.666666666666664 S:10, I:0, D:1
S-26B Google 10 57.4468085106383 S:33, I:2, D:19
S-26B Kaldi 10 39.361702127659576 S:27, I:1, D:9
S-26B Google 11 50.0 S:0, I:0, D:5
S-26B Kaldi 11 30.0 S:2, I:0, D:1
S-30B
S-30B Google 0 45.02164502164502 S:37, I:1, D:66
S-30B Kaldi 0 33.76623376623377 S:53, I:4, D:21
S-30B Google 1 42.42424242424242 S:13, I:1, D:56
S-30B Kaldi 1 32.72727272727273 S:42, I:5, D:7
S-30B Google 2 25.81699346405229 S:22, I:1, D:56
S-30B Kaldi 2 19.281045751633986 S:45, I:3, D:11
S-30B Google 3 27.84313725490196 S:24, I:1, D:46
S-30B Kaldi 3 20.784313725490197 S:39, I:2, D:12
S-30B Google 4 33.80281690140845 S:61, I:1, D:106
S-30B Kaldi 4 28.169014084507044 S:93, I:3, D:44
S-30B Google 5 30.451866404715126 S:51, I:2, D:102
S-30B Kaldi 5 22.20039292730845 S:72, I:4, D:37
S-30B Google 6 30.158730158730158 S:1, I:0, D:18
S-30B Kaldi 6 28.571428571428573 S:10, I:0, D:8
S-30B Google 7 32.5 S:11, I:0, D:15
S-30B Kaldi 7 25.0 S:15, I:3, D:2
S-30B Google 8 41.666666666666664 S:1, I:0, D:14
S-30B Kaldi 8 33.333333333333336 S:8, I:1, D:3
